Subject,Same Day,Year,participant_id,Age,Gender,kbit_std_v,Delay,Day 1 PS object target,Day 1 PS location target,Day 1 PS animal target,Day 1 PC Ab target,Day 1 PC Bc target,Day 1 PC Ac target,Day 1 PC Cb target,Day 1 PC Cb lure,Day 1 PC Ba target,Day 1 PC Ca target,Day 2 PS object target,Day 2 PS location target,Day 2 PS animal target,Day 2 PS animal lure,Day 2 PS animal foil,Day 2 PC Ab target,Day 2 PC Bc target,Day 2 PC Ac target,Day 2 PC Cb target,Day 2 PC Ba target,Day 2 PC Ca target,Day 1 PS animal lure,Day 1 PC Ab lure,Day 1 PS object foil,Day 1 PS location foil,Day 2 PS object lure,Day 2 PS location foil,Day 2 PC Ab lure,Day 2 PC Bc lure,Day 2 PC Ac lure,Day 2 PC Cb lure,Day 2 PC Ba lure,Day 2 PC Ca lure,Day 1 PS location lure,Day 1 PC Bc lure,Day 1 PC Ac lure,Day 1 PC Ba lure,Day 1 PC Ca lure,Day 2 PS object foil,Day 2 PS location lure,Day 1 PS object lure,Day 1 PS animal foil
MDEM117,True,1,MDEM117,7.46,Boy,89.0,True,7,6,7,6,8,6,7,2,7,7,6,8,3,2,4,4,6,7,1,4,8,0,3,1,1,0,0,5,3,2,8,5,1,2,1,3,2,2,3,1,1,2
MDEM118,True,1,MDEM118,4.94,Boy,118.0,True,2,6,3,5,4,5,6,3,6,3,1,4,1,5,3,1,3,2,3,3,5,4,4,4,3,6,4,8,6,7,6,6,4,0,5,4,3,6,2,1,3,2
MDEM119,True,1,MDEM119,7.87,Girl,118.0,True,5,7,6,2,7,7,7,2,7,9,5,4,7,1,1,5,7,8,5,6,8,2,7,2,1,1,3,4,2,1,4,3,1,1,2,2,2,0,3,2,2,1
MDEM120,True,1,MDEM120,5.81,Girl,107.0,True,7,9,9,5,4,9,7,2,7,9,7,8,9,0,0,3,9,4,6,6,8,0,4,0,0,1,0,6,0,5,3,3,1,0,5,0,2,0,1,1,2,0
MDEM121,True,1,MDEM121,6.91,Girl,118.0,True,9,9,9,4,6,8,7,2,5,7,7,7,8,1,0,3,4,4,5,1,8,0,5,0,0,0,0,6,5,5,4,8,1,0,3,1,4,2,2,2,0,0
MDEM122,True,1,MDEM122,7.14,Boy,106.0,True,8,8,9,4,6,8,7,2,7,9,6,7,9,0,0,7,8,8,5,4,9,0,5,1,1,3,1,2,1,1,4,5,0,0,3,1,2,0,0,1,0,0
MDEM123,True,1,MDEM123,6.86,Boy,116.0,True,3,4,5,3,3,3,4,5,2,3,1,2,3,4,2,3,2,4,2,2,3,1,6,4,4,1,5,6,7,5,7,7,6,1,6,6,7,6,7,2,2,3
MDEM124,True,1,MDEM124,7.21,Girl,116.0,True,9,8,8,3,3,5,6,3,6,7,4,9,8,0,1,5,2,2,1,6,6,0,6,0,0,2,0,4,7,7,8,3,3,1,6,4,3,2,3,0,0,1
MDEM125,True,1,MDEM125,4.91,Girl,107.0,True,4,9,8,2,5,5,2,7,3,2,3,4,4,2,3,2,4,0,1,1,2,1,7,4,0,2,5,7,5,9,8,8,7,0,4,4,6,7,4,0,1,0
MDEM126,True,1,MDEM126,5.15,Girl,97.0,True,4,6,4,3,3,3,3,6,1,5,4,4,3,3,3,2,1,3,2,4,3,2,6,3,2,1,4,7,8,6,7,5,6,1,6,6,8,4,4,1,2,3
MDEM127,True,1,MDEM127,7.66,Girl,121.0,True,0,0,0,0,0,0,0,0,0,0,6,6,9,0,0,7,9,6,6,8,8,0,0,0,0,1,1,2,0,3,3,1,1,0,0,0,0,0,2,2,0,0
MDEM128,True,1,MDEM128,5.42,Boy,113.0,True,0,3,3,2,4,7,5,4,2,5,3,1,1,4,4,1,2,3,1,2,4,1,7,5,5,1,6,8,7,6,8,7,5,1,5,2,7,4,5,2,4,5
MDEM129,True,1,MDEM129,4.67,Girl,107.0,True,6,6,6,9,7,6,6,3,5,8,2,6,6,2,1,2,4,6,4,2,4,3,0,0,3,2,2,7,5,3,5,7,5,0,2,3,4,1,5,1,3,0
MDEM130,True,1,MDEM130,7.55,Boy,121.0,True,5,5,7,8,5,5,7,2,4,6,7,4,7,2,0,4,0,0,3,3,3,2,1,1,2,0,0,5,9,9,6,6,6,2,4,4,5,3,2,5,3,0
MDEM132,True,1,MDEM132,6.35,Girl,93.0,True,4,8,9,3,4,5,6,3,8,8,4,6,4,1,4,4,1,6,5,3,6,0,6,2,1,3,3,5,8,3,4,6,3,0,5,4,1,1,2,0,3,0
MDEM133,True,1,MDEM133,4.57,Girl,120.0,True,5,4,6,2,3,5,3,6,3,5,3,5,1,2,6,2,1,0,1,3,4,2,7,0,2,1,3,7,8,9,8,6,5,3,6,4,6,4,5,1,4,1
MDEM134,True,1,MDEM134,4.07,Girl,127.0,True,4,6,3,6,2,4,1,8,4,4,2,2,3,3,3,2,1,2,5,3,2,2,3,4,2,1,6,7,8,7,4,6,7,1,7,5,5,5,6,1,1,4
MDEM135,True,1,MDEM135,5.42,Girl,114.0,True,8,7,8,2,3,5,1,8,4,5,5,8,4,3,2,2,6,5,2,5,5,0,7,1,2,1,1,7,3,4,7,4,4,0,6,4,5,4,3,0,0,1
MDEM136,True,1,MDEM136,4.24,Boy,109.0,True,6,2,4,1,2,2,2,7,4,6,2,4,1,2,6,5,2,1,3,2,1,2,8,2,4,1,4,4,7,8,6,7,8,3,7,7,5,3,6,1,1,3
MDEM137,True,1,MDEM137,5.8,Boy,129.0,True,4,8,6,6,3,9,7,2,9,9,9,9,9,0,0,9,9,7,8,7,8,2,3,4,0,0,0,0,0,2,1,2,1,1,6,0,0,0,0,0,1,1
MDEM140,True,1,MDEM140,6.76,Girl,120.0,True,4,6,6,5,3,5,5,4,2,7,2,4,2,3,4,2,5,2,4,3,4,1,4,0,1,4,1,7,4,7,5,6,5,2,6,4,7,2,3,4,5,2
